date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:43:22	946/946	UR-MC-	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Oct%202025%2014:43:20%20GMT	https://copytradingbroker.io/assets/templates/copytradingbroker/auth/main/assets/js/bootstrap-show-password.min.js	/home/taliban/websites/tedbroker.com/copytradingbroker.io/assets/templates/copytradingbroker/auth/main/assets/js/bootstrap-show-password.min.js	(from https://copytradingbroker.io/register)
07:43:23	946/946	UR-MC-	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Oct%202025%2014:43:21%20GMT	https://copytradingbroker.io/assets/templates/copytradingbroker/auth/main/assets/plugins/select2/js/select2.min.js	/home/taliban/websites/tedbroker.com/copytradingbroker.io/assets/templates/copytradingbroker/auth/main/assets/plugins/select2/js/select2.min.js	(from https://copytradingbroker.io/register)
07:43:24	946/946	UR-MC-	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Oct%202025%2014:43:21%20GMT	https://copytradingbroker.io/assets/templates/copytradingbroker/auth/main/assets/plugins/perfect-scrollbar/perfect-scrollbar.min.js	/home/taliban/websites/tedbroker.com/copytradingbroker.io/assets/templates/copytradingbroker/auth/main/assets/plugins/perfect-scrollbar/perfect-scrollbar.min.js	(from https://copytradingbroker.io/register)
07:43:24	946/946	UR-MC-	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Oct%202025%2014:43:22%20GMT	https://copytradingbroker.io/assets/templates/copytradingbroker/auth/main/assets/js/themeColors.js	/home/taliban/websites/tedbroker.com/copytradingbroker.io/assets/templates/copytradingbroker/auth/main/assets/js/themeColors.js	(from https://copytradingbroker.io/register)
07:43:25	946/946	UR-MC-	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Oct%202025%2014:43:23%20GMT	https://copytradingbroker.io/assets/templates/copytradingbroker/auth/main/assets/js/swither-styles.js	/home/taliban/websites/tedbroker.com/copytradingbroker.io/assets/templates/copytradingbroker/auth/main/assets/js/swither-styles.js	(from https://copytradingbroker.io/register)
07:43:26	946/946	UR-MC-	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Oct%202025%2014:43:24%20GMT	https://copytradingbroker.io/assets/templates/copytradingbroker/auth/main/assets/js/custom.js	/home/taliban/websites/tedbroker.com/copytradingbroker.io/assets/templates/copytradingbroker/auth/main/assets/js/custom.js	(from https://copytradingbroker.io/register)
07:43:33	607/607	UR-MC-	200	added ('OK')	text/css	date:Mon,%2013%20Oct%202025%2014:43:22%20GMT	https://copytradingbroker.io/assets/templates/copytradingbroker/color.php?color=&secondary_color=	/home/taliban/websites/tedbroker.com/copytradingbroker.io/assets/templates/copytradingbroker/color2c1f.css	(from https://copytradingbroker.io/)
07:43:38	17821/-1	---M--	200	added ('OK')	text/html	date:Mon,%2013%20Oct%202025%2014:43:36%20GMT	https://copytradingbroker.io/about-us	/home/taliban/websites/tedbroker.com/copytradingbroker.io/about-us.html	(from https://copytradingbroker.io/)
08:24:30	0/0	UR-M-Z	416	error ('Range%20Not%20Satisfiable')	application/javascript	etag:W/%2228feccc0-4638e%22	https://code.jquery.com/jquery-3.5.1.js	/home/taliban/websites/tedbroker.com/code.jquery.com/jquery-3.5.1.js	(from https://copytradingbroker.io/register)
08:24:34	0/0	UR-M-Z	416	error ('Range%20Not%20Satisfiable')	application/javascript	etag:W/%2228feccc0-15d9d%22	https://code.jquery.com/jquery-3.6.0.min.js	/home/taliban/websites/tedbroker.com/code.jquery.com/jquery-3.6.0.min.js	(from https://copytradingbroker.io/register)
08:24:35	9496/9496	URF---	200	added ('OK%20(cached)')	application/x-javascript		https://use.fontawesome.com/b69656bbf6.js	/home/taliban/websites/tedbroker.com/use.fontawesome.com/b69656bbf6.js	(from https://copytradingbroker.io/register)
08:24:35	995/995	UR-MC-	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Oct%202025%2015:24:32%20GMT	https://copytradingbroker.io/assets/templates/copytradingbroker/frontend/images/bg/1.jpg	/home/taliban/websites/tedbroker.com/copytradingbroker.io/assets/templates/copytradingbroker/frontend/images/bg/1.jpg	(from https://copytradingbroker.io/assets/templates/copytradingbroker/frontend/css/style.css)
08:24:35	0/-1	---M--	404	error ('')			https://copytradingbroker.io/legal/index.html	/home/taliban/websites/tedbroker.com/copytradingbroker.io/legal/index.html	(from https://copytradingbroker.io/legal/privacy_policy)
08:24:37	217/217	UR-M-Z	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Mon,%2013%20Oct%202025%2014:43:41%20GMT	https://cdnjs.cloudflare.com/ajax/libs/jquery-validate/1.19.2/jquery.validate.min.js	/home/taliban/websites/tedbroker.com/cdnjs.cloudflare.com/ajax/libs/jquery-validate/1.19.2/jquery.validate.min.js	(from https://copytradingbroker.io/register)
08:24:37	946/-1	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Oct%202025%2015:24:35%20GMT	https://copytradingbroker.io/translate.google.com/translate_a/elementa0d8a0d8.html?cb=googleTranslateElementInit	/home/taliban/websites/tedbroker.com/copytradingbroker.io/translate.google.com/translate_a/elementa0d8a0d8a0d8.html	(from https://copytradingbroker.io/register)
08:24:38	995/995	UR-MC-	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Oct%202025%2015:24:36%20GMT	https://copytradingbroker.io/assets/templates/copytradingbroker/frontend/images/bg1.png	/home/taliban/websites/tedbroker.com/copytradingbroker.io/assets/templates/copytradingbroker/frontend/images/bg1.png	(from https://copytradingbroker.io/assets/templates/copytradingbroker/frontend/css/style.css)
08:24:41	10608/-1	---M--	200	added ('OK')	text/html	date:Mon,%2013%20Oct%202025%2015:24:39%20GMT	https://copytradingbroker.io/forgot-password	/home/taliban/websites/tedbroker.com/copytradingbroker.io/forgot-password.html	(from https://copytradingbroker.io/login)
